Acres,FamilyIncome,FamilyType,NumBedrooms,NumChildren,NumPeople,NumRooms,NumUnits,NumVehicles,NumWorkers,OwnRent,YearBuilt,HouseCosts,ElectricBill,FoodStamp,HeatingFuel,Insurance,Language
10-Jan,11800.00,Female Head,4,0,5,8,Single detached,0,1,Rented,1960-1969,580,90,Yes,Gas,0,English
10-Jan,11800.00,Female Head,5,1,4,9,Single detached,1,1,Rented,1970-1979,1000,300,Yes,Oil,0,English
10-Jan,11880.00,Married,3,5,7,5,Mobile home,2,1,Rented,1980-1989,500,220,Yes,Oil,0,English
10-Jan,12000.00,Female Head,3,1,4,6,Single detached,3,0,Rented,1950-1959,200,180,No,Gas,0,English
10-Jan,12000.00,Female Head,3,2,3,4,Single detached,1,1,Mortgage,1960-1969,1400,50,No,Wood,500,English
10-Jan,12000.00,Female Head,3,2,3,6,Single detached,1,0,Rented,Before 1939,660,250,Yes,Gas,0,English
10-Jan,12000.00,Female Head,4,3,8,7,Single detached,2,0,Mortgage,1960-1969,510,270,No,Gas,500,English
10-Jan,12000.00,Female Head,5,3,4,8,Single detached,1,0,Mortgage,Before 1939,220,140,Yes,Oil,400,English
10-Jan,12100.00,Female Head,2,1,2,6,Single detached,2,0,Mortgage,Before 1939,260,70,Yes,Oil,500,English
10-Jan,12100.00,Male Head,3,1,4,5,Single detached,2,1,Mortgage,Before 1939,350,100,Yes,Gas,400,English
10-Jan,12180.00,Female Head,1,0,3,2,Single detached,0,2,Rented,1990-1999,1400,50,No,Other,0,Asian Pacific
10-Jan,12200.00,Female Head,3,1,3,6,Single detached,1,1,Mortgage,1950-1959,540,70,Yes,Oil,0,English
10-Jan,12200.00,Female Head,3,1,3,7,Single detached,2,1,Mortgage,Before 1939,370,70,No,Gas,900,English
10-Jan,12200.00,Married,3,0,2,6,Single detached,1,0,Rented,1950-1959,700,60,No,Oil,0,English
10-Jan,12300.00,Female Head,3,3,5,6,Mobile home,0,1,Rented,1950-1959,500,50,Yes,Oil,0,English
10-Jan,12300.00,Married,3,0,2,6,Single detached,2,0,Mortgage,1990-1999,460,150,No,Oil,750,English
10-Jan,12400.00,Male Head,3,0,4,4,Mobile home,1,1,Rented,1990-1999,450,140,Yes,Gas,0,English
10-Jan,12400.00,Married,2,2,4,7,Single detached,2,1,Rented,1970-1979,1000,200,No,Electricity,0,Spanish
10-Jan,12600.00,Married,4,0,12,6,Single detached,2,1,Mortgage,Before 1939,250,200,Yes,Oil,570,English
10-Jan,12650.00,Married,3,0,2,6,Single attached,2,0,Mortgage,1940-1949,850,230,No,Gas,1200,Other European
10-Jan,12700.00,Married,3,0,2,6,Single detached,1,1,Mortgage,1960-1969,250,100,Yes,Gas,0,English
10-Jan,12800.00,Married,3,0,3,6,Mobile home,1,0,Mortgage,1970-1979,370,120,Yes,Gas,360,English
10-Jan,13000.00,Female Head,3,1,3,10,Single detached,2,0,Rented,1940-1949,680,2,Yes,Gas,0,English
10-Jan,13000.00,Married,4,0,2,10,Single detached,2,1,Mortgage,2000-2004,4300,200,No,Oil,2000,English
10-Jan,13000.00,Married,8,1,6,11,Single detached,2,2,Rented,1960-1969,430,310,No,Oil,0,English
10-Jan,13100.00,Female Head,3,1,3,6,Single detached,2,1,Mortgage,1970-1979,1300,60,No,Gas,550,English
10-Jan,13370.00,Female Head,3,0,3,5,Mobile home,0,2,Mortgage,1970-1979,370,450,No,Oil,480,English
10-Jan,13500.00,Married,2,0,2,5,Single detached,2,0,Rented,1970-1979,400,90,Yes,Oil,0,English
10-Jan,13800.00,Married,2,0,2,4,Single detached,2,1,Mortgage,Before 1939,2600,90,No,Oil,150,English
10-Jan,13900.00,Female Head,4,3,5,7,Mobile home,1,1,Rented,1990-1999,400,250,Yes,Oil,0,English
10-Jan,13900.00,Married,2,0,2,4,Single detached,2,2,Rented,1960-1969,650,80,No,Gas,0,English
10-Jan,14000.00,Male Head,3,0,2,6,Single detached,1,0,Mortgage,Before 1939,320,70,No,Oil,490,English
10-Jan,14000.00,Married,2,1,3,3,Single attached,0,1,Rented,1940-1949,1400,90,Yes,Gas,0,Spanish
10-Jan,14000.00,Married,3,0,2,7,Single detached,1,0,Mortgage,1980-1989,500,130,Yes,Wood,450,English
10-Jan,14000.00,Married,3,2,4,7,Single detached,1,2,Rented,Before 1939,700,60,Yes,Gas,0,English
10-Jan,14000.00,Married,4,0,2,8,Single detached,1,0,Mortgage,Before 1939,240,90,Yes,Oil,430,English
10-Jan,14100.00,Female Head,3,1,2,8,Single detached,1,1,Mortgage,Before 1939,500,50,No,Gas,350,English
10-Jan,14100.00,Married,3,1,5,4,Single detached,5,1,Mortgage,1960-1969,2300,420,No,Gas,0,Other European
10-Jan,14200.00,Female Head,3,2,4,7,Single detached,2,1,Rented,1970-1979,500,120,No,Gas,0,English
10-Jan,14400.00,Female Head,2,3,4,7,Single detached,1,1,Rented,1970-1979,950,100,No,Oil,0,Other European
10-Jan,14500.00,Female Head,2,1,2,5,Single detached,1,1,Mortgage,1980-1989,200,90,Yes,Gas,0,English
10-Jan,14500.00,Married,2,0,2,7,Single detached,2,1,Mortgage,1960-1969,500,180,No,Oil,600,English
10-Jan,14500.00,Married,3,0,2,6,Single detached,3,2,Mortgage,2008,550,130,No,Gas,600,English
10-Jan,14590.00,Female Head,3,0,3,4,Mobile home,1,1,Mortgage,1980-1989,370,90,Yes,Gas,360,Spanish
10-Jan,14600.00,Male Head,4,3,5,7,Single detached,2,1,Rented,Before 1939,400,260,Yes,Gas,0,English
10-Jan,14600.00,Married,3,0,2,5,Single detached,1,1,Mortgage,Before 1939,400,50,No,Gas,1000,English
10-Jan,14600.00,Married,3,1,5,9,Mobile home,2,2,Mortgage,1990-1999,500,290,No,Oil,300,English
10-Jan,14700.00,Married,4,3,5,7,Mobile home,1,2,Mortgage,1970-1979,460,280,Yes,Oil,80,English
10-Jan,14800.00,Female Head,3,3,5,6,Single detached,2,1,Rented,Before 1939,350,1,No,Oil,0,English
10-Jan,14800.00,Married,2,0,2,6,Single detached,2,0,Mortgage,1950-1959,200,180,No,Wood,450,English
10-Jan,14800.00,Married,4,1,4,7,Single detached,2,2,Mortgage,2005,4000,140,No,Oil,900,English
10-Jan,15000.00,Female Head,2,3,4,8,Single detached,1,1,Rented,1980-1989,700,100,Yes,Gas,0,English
10-Jan,15000.00,Female Head,3,0,3,7,Single detached,2,1,Mortgage,Before 1939,1800,40,No,Gas,1300,English
10-Jan,15000.00,Female Head,5,2,5,8,Single detached,1,0,Rented,1950-1959,580,160,No,Gas,0,English
10-Jan,15000.00,Male Head,2,1,2,5,Single detached,1,1,Rented,Before 1939,440,30,Yes,Gas,0,English
10-Jan,15000.00,Married,3,0,2,6,Single detached,2,0,Mortgage,1990-1999,1200,100,Yes,Oil,500,English
10-Jan,15020.00,Married,3,3,5,13,Single detached,2,1,Mortgage,2007,920,150,No,Gas,600,English
10-Jan,15100.00,Female Head,4,2,3,7,Single attached,2,1,Rented,1970-1979,760,470,Yes,Electricity,0,English
10-Jan,15300.00,Married,2,1,3,5,Mobile home,1,1,Rented,1970-1979,400,130,Yes,Oil,0,English
10-Jan,15300.00,Married,4,0,4,6,Single detached,3,1,Mortgage,Before 1939,390,150,Yes,Oil,1000,English
10-Jan,15400.00,Married,3,0,3,8,Single detached,2,0,Rented,Before 1939,550,60,Yes,Oil,0,English
10-Jan,15500.00,Female Head,3,0,2,9,Single detached,1,0,Mortgage,Before 1939,1800,120,No,Oil,950,English
10-Jan,15530.00,Married,2,0,2,8,Single detached,2,1,Mortgage,1970-1979,300,220,No,Gas,470,English
10-Jan,15590.00,Female Head,5,2,4,8,Single detached,2,1,Mortgage,1990-1999,1900,300,No,Electricity,1700,Spanish
10-Jan,15600.00,Female Head,2,1,2,3,Mobile home,1,0,Rented,1980-1989,750,120,No,Oil,0,English
10-Jan,15800.00,Female Head,3,0,3,6,Single detached,1,1,Rented,Before 1939,650,150,No,Electricity,0,English
10-Jan,16000.00,Female Head,4,0,3,12,Single detached,2,1,Mortgage,1970-1979,680,80,No,Wood,480,English
10-Jan,16000.00,Male Head,2,0,3,4,Single detached,1,0,Rented,Before 1939,650,140,Yes,Oil,0,English
10-Jan,16100.00,Female Head,3,0,2,6,Single detached,1,0,Rented,1960-1969,120,40,Yes,Gas,0,English
10-Jan,16100.00,Married,3,0,2,5,Single detached,2,0,Mortgage,2000-2004,470,130,No,Gas,1200,English
10-Jan,16200.00,Female Head,2,0,2,4,Mobile home,2,1,Rented,1970-1979,550,70,Yes,Oil,0,English
10-Jan,16300.00,Female Head,3,4,6,7,Single detached,2,1,Mortgage,1970-1979,670,160,Yes,Oil,630,English
10-Jan,16300.00,Female Head,5,3,5,10,Single detached,2,1,Rented,1990-1999,950,190,Yes,Coal,0,English
10-Jan,16400.00,Male Head,2,0,4,4,Single detached,2,1,Mortgage,1950-1959,320,160,Yes,Gas,730,English
10-Jan,16630.00,Married,4,0,2,10,Single detached,2,2,Mortgage,Before 1939,2300,200,No,Gas,190,English
10-Jan,16640.00,Married,3,0,3,9,Single detached,2,3,Mortgage,1980-1989,1000,130,No,Gas,780,English
10-Jan,16800.00,Female Head,3,0,3,6,Single detached,0,0,Mortgage,1970-1979,630,340,Yes,Electricity,400,English
10-Jan,16800.00,Male Head,3,1,3,7,Single detached,1,0,Mortgage,1970-1979,450,120,No,Wood,1000,English
10-Jan,16800.00,Male Head,8,1,3,8,Single detached,1,1,Mortgage,Before 1939,1500,250,No,Wood,1000,English
10-Jan,16800.00,Married,3,0,2,6,Single detached,2,1,Mortgage,Before 1939,440,290,Yes,Gas,240,English
10-Jan,17000.00,Female Head,3,0,2,6,Single detached,0,0,Rented,1950-1959,300,260,Yes,Oil,0,English
10-Jan,17000.00,Female Head,3,1,2,8,Single detached,1,1,Mortgage,1970-1979,1000,180,No,Oil,540,English
10-Jan,17000.00,Female Head,5,3,4,12,Single detached,1,0,Mortgage,1970-1979,1200,300,Yes,Wood,1100,Other European
10-Jan,17000.00,Male Head,3,1,6,7,Mobile home,2,1,Mortgage,2000-2004,690,70,Yes,Gas,400,English
10-Jan,17000.00,Married,2,0,2,3,Single detached,1,0,Mortgage,1970-1979,300,80,No,Gas,460,English
10-Jan,17000.00,Married,2,0,2,5,Mobile home,2,2,Mortgage,2006,1200,60,No,Wood,540,English
10-Jan,17000.00,Married,3,2,4,8,Mobile home,2,2,Mortgage,1980-1989,500,200,No,Wood,800,English
10-Jan,17000.00,Married,5,0,2,7,Single detached,0,0,Rented,Before 1939,580,190,Yes,Electricity,0,English
10-Jan,17080.00,Married,8,4,12,11,Single detached,2,0,Mortgage,1990-1999,610,340,No,Wood,1000,English
10-Jan,17100.00,Married,4,0,3,8,Single detached,0,0,Mortgage,Before 1939,750,70,Yes,Oil,700,English
10-Jan,17400.00,Male Head,3,4,6,6,Single detached,2,0,Rented,1940-1949,600,220,Yes,Gas,0,English
10-Jan,17400.00,Married,3,0,2,6,Single detached,1,0,Mortgage,1980-1989,250,110,Yes,Other,150,English
10-Jan,17500.00,Male Head,2,0,2,3,Single attached,1,1,Rented,1960-1969,1100,110,No,Gas,0,Asian Pacific
10-Jan,17500.00,Married,3,0,2,10,Single detached,2,1,Mortgage,1980-1989,880,200,No,Oil,700,English
10-Jan,17600.00,Female Head,2,1,3,5,Single detached,2,1,Rented,1960-1969,950,480,No,Gas,0,English
10-Jan,17600.00,Female Head,3,0,3,6,Single detached,2,1,Mortgage,Before 1939,500,340,Yes,Oil,400,English
10-Jan,17600.00,Married,1,1,4,2,Single detached,0,2,Rented,1970-1979,730,180,Yes,Gas,0,Spanish
10-Jan,17700.00,Married,2,1,3,5,Single detached,2,1,Rented,Before 1939,600,200,No,Electricity,0,English
10-Jan,17800.00,Female Head,2,3,4,9,Single detached,1,1,Rented,2005,530,130,Yes,Oil,0,English
10-Jan,17800.00,Married,2,0,2,4,Mobile home,1,0,Rented,2000-2004,500,100,No,Oil,0,English
10-Jan,18000.00,Female Head,2,2,3,4,Mobile home,2,0,Rented,1970-1979,500,200,Yes,Oil,0,English
10-Jan,18000.00,Female Head,3,1,3,5,Mobile home,2,1,Rented,1980-1989,700,150,Yes,Gas,0,English
10-Jan,18000.00,Female Head,3,1,3,6,Single detached,1,0,Rented,1970-1979,400,280,No,Oil,0,English
10-Jan,18000.00,Female Head,4,0,4,21,Single detached,2,2,Rented,Before 1939,2100,160,No,Oil,0,English
10-Jan,18000.00,Male Head,1,0,2,2,Mobile home,2,2,Rented,1990-1999,200,150,No,Electricity,0,English
10-Jan,18000.00,Male Head,2,1,2,5,Single detached,1,1,Mortgage,1950-1959,560,100,No,Gas,450,English
10-Jan,18000.00,Male Head,3,2,6,5,Single detached,2,0,Mortgage,1950-1959,980,410,No,Wood,0,English
10-Jan,18000.00,Male Head,4,1,3,8,Single detached,2,1,Rented,Before 1939,600,130,No,Oil,0,English
10-Jan,18000.00,Male Head,5,4,8,8,Single detached,2,1,Mortgage,1990-1999,390,80,No,Gas,600,Spanish
10-Jan,18000.00,Married,2,0,2,5,Single detached,2,0,Outright,Before 1939,4,90,No,Gas,600,English
10-Jan,18000.00,Married,2,1,3,4,Mobile home,1,1,Rented,1980-1989,550,190,Yes,Oil,0,English
10-Jan,18000.00,Married,2,1,3,5,Single detached,2,1,Mortgage,Before 1939,130,120,Yes,Oil,120,English
10-Jan,18000.00,Married,2,1,3,6,Single detached,2,2,Mortgage,1950-1959,520,150,No,Gas,600,English
10-Jan,18000.00,Married,3,0,2,6,Single detached,2,0,Mortgage,1980-1989,900,110,No,Gas,600,English
10-Jan,18000.00,Married,3,0,3,8,Mobile home,3,2,Mortgage,2000-2004,600,130,No,Gas,500,English
10-Jan,18100.00,Married,3,0,2,5,Mobile home,2,0,Mortgage,1970-1979,490,140,Yes,Oil,500,English
10-Jan,18300.00,Married,3,0,2,5,Single detached,2,0,Mortgage,1980-1989,150,60,No,Oil,0,English
10-Jan,18400.00,Female Head,4,1,2,9,Single detached,1,1,Mortgage,1990-1999,660,140,No,Gas,500,English
10-Jan,18400.00,Married,3,2,4,7,Single detached,2,2,Rented,Before 1939,400,140,No,Gas,0,Spanish
10-Jan,18400.00,Married,4,0,2,9,Mobile home,2,2,Mortgage,1990-1999,750,120,No,Wood,850,English
10-Jan,18500.00,Female Head,3,2,4,6,Single detached,2,1,Mortgage,1970-1979,600,160,No,Oil,300,English
10-Jan,18600.00,Married,2,0,2,6,Single detached,2,0,Rented,Before 1939,380,150,No,Oil,0,English
10-Jan,18690.00,Female Head,4,2,4,8,Single detached,1,2,Rented,Before 1939,650,120,Yes,Gas,0,English
10-Jan,18800.00,Married,3,1,4,5,Single detached,3,3,Mortgage,1980-1989,500,250,No,Gas,2000,English
10-Jan,19000.00,Female Head,2,2,3,6,Single detached,0,1,Mortgage,1990-1999,630,150,No,Gas,300,English
10-Jan,19000.00,Female Head,4,2,3,7,Single detached,2,0,Mortgage,1950-1959,2400,300,No,Oil,200,English
10-Jan,19000.00,Male Head,2,1,3,5,Mobile home,3,1,Rented,1960-1969,250,80,Yes,Oil,0,English
10-Jan,19000.00,Married,2,1,3,5,Single detached,2,1,Mortgage,1990-1999,450,200,No,Other,240,English
10-Jan,19000.00,Married,2,4,6,4,Single attached,2,1,Rented,1950-1959,930,60,Yes,Gas,0,Asian Pacific
10-Jan,19000.00,Married,3,0,2,6,Single detached,2,2,Mortgage,Before 1939,500,100,No,Gas,500,English
10-Jan,19000.00,Married,3,3,5,4,Single detached,3,1,Mortgage,1950-1959,2200,200,Yes,Gas,100,English
10-Jan,19100.00,Married,3,1,3,5,Single detached,3,1,Rented,1960-1969,700,200,Yes,Oil,0,English
10-Jan,19100.00,Married,3,3,5,6,Single detached,1,1,Rented,Before 1939,290,410,Yes,Gas,0,English
10-Jan,19160.00,Married,3,2,4,7,Single detached,2,2,Mortgage,2006,1500,130,No,Oil,1600,Asian Pacific
10-Jan,19300.00,Married,3,0,2,5,Single detached,2,0,Mortgage,2007,530,130,No,Wood,900,English
10-Jan,19500.00,Married,4,5,7,9,Single detached,1,2,Rented,1970-1979,600,150,Yes,Gas,0,English
10-Jan,19620.00,Married,2,0,2,3,Single detached,1,1,Mortgage,1990-1999,330,80,Yes,Gas,300,English
10-Jan,19710.00,Female Head,3,2,5,8,Single detached,2,1,Mortgage,1950-1959,510,160,No,Oil,850,English
10-Jan,19810.00,Male Head,4,0,3,9,Single detached,0,1,Mortgage,Before 1939,270,90,No,Gas,170,English
10-Jan,19900.00,Female Head,3,0,3,6,Single detached,1,1,Rented,1990-1999,570,80,Yes,Gas,0,English
10-Jan,19900.00,Male Head,3,1,2,4,Mobile home,1,0,Mortgage,1990-1999,530,90,Yes,Gas,390,English
10-Jan,19900.00,Married,2,0,2,5,Single detached,1,0,Mortgage,Before 1939,500,100,No,Gas,550,English
10-Jan,20000.00,Female Head,2,0,2,8,Single detached,2,1,Mortgage,Before 1939,1300,180,No,Wood,900,English
10-Jan,20000.00,Female Head,2,1,2,6,Single detached,1,1,Mortgage,Before 1939,1000,80,No,Gas,1000,English
10-Jan,20000.00,Female Head,3,2,3,5,Mobile home,2,1,Mortgage,1990-1999,260,180,Yes,Oil,500,English
10-Jan,20000.00,Female Head,4,2,3,8,Single detached,1,1,Rented,1980-1989,480,70,Yes,Oil,0,English
10-Jan,20000.00,Female Head,5,1,2,10,Single detached,3,1,Mortgage,Before 1939,800,60,Yes,Oil,800,English
10-Jan,20000.00,Male Head,3,0,2,7,Single attached,0,1,Rented,Before 1939,1200,130,No,Oil,0,Other European
